accountID,userID,accountType,accountName,bankName,currentBalance
5961,1433,Car Loan,Marquez-Watts Investments,Miller Johnson and Rivera,-11007.61
5962,1434,Checking,Ramirez-Hanson,Ramirez-Hanson,4857.63
5963,1434,Savings,Williams-Cooke,Williams-Cooke,1455.98
5964,1435,Checking,Wiley-George,Wiley-George,1920.67
5965,1435,Savings,Smith-Nguyen,Smith-Nguyen,17415.44
5966,1435,Mortgage,Good-Alvarado Investments,Contreras Clark and Robinson,-113033.14
5967,1435,Credit Card,Sandoval Taylor and Acosta Car Loan,Mercado-Stewart,-562.28
5968,1435,Investments,Hopkins Rangel and Bartlett Credit Card,Valdez Sanchez and Chan,33739.01
5969,1435,Investments,Taylor-Watkins Car Loan,Jones Bell and Smith,64655.09
5970,1436,Checking,Williams PLC,Williams PLC,1745.17
5971,1436,Savings,Simmons Mullins and Guerrero,Simmons Mullins and Guerrero,19977.79
5972,1436,Car Loan,Rogers Martinez and Martinez Mortgage,Moore Moore and Howell,-27568.15
5973,1436,Student Loan,Moore Inc Investments,Green Inc,-48748.75
5974,1436,Mortgage,Marks PLC Credit Card,Michael PLC,-84025.37
5975,1436,Mortgage,Ruiz PLC Car Loan,Hamilton-Haynes,-116247.84
5976,1437,Checking,Brown and Sons,Brown and Sons,1405.24
5977,1437,Savings,Phillips-Terry,Phillips-Terry,17048.83
5978,1437,Mortgage,Baird Goodwin and Shannon Savings,Butler Inc,-147857.15
5979,1437,Car Loan,Kennedy-Richardson Checking,Barrett Robinson and Booth,-36973.54
5980,1437,Credit Card,Farley Hernandez and Oconnell Savings,Scott Garcia and Graham,-3798.69
5981,1437,Mortgage,Schneider Lindsey and Banks Checking,Fisher PLC,-241800.14
5982,1437,Car Loan,Avila Stein and Bates Savings,Meyer Hughes and Garcia,-22631.03
5983,1438,Checking,Garcia-Jacobson,Garcia-Jacobson,948.09
5984,1438,Savings,Hill-Brennan,Hill-Brennan,3044.09
5985,1439,Checking,Johnson Group,Johnson Group,1738.17
5986,1439,Savings,Williams PLC,Williams PLC,2326.62
5987,1439,Investments,Hall Daniel and Davenport Credit Card,Kelly Lopez and Harris,1138.57
5988,1439,Investments,Murphy Fisher and Anthony Mortgage,Jones Daugherty and Hunter,44215.73
5989,1439,Mortgage,Sampson Smith and Russell Mortgage,Morales-Dodson,-147580.13
5990,1440,Checking,Pineda-Shields,Pineda-Shields,1544.28
5991,1440,Savings,Williams PLC,Williams PLC,1614.59
5992,1440,Student Loan,Wong Graves and Wilson Investments,Fletcher-Blake,-41962.16
5993,1441,Checking,Mathis Aguilar and Santiago,Mathis Aguilar and Santiago,2320.2
5994,1441,Savings,Crawford Martin and Nelson,Crawford Martin and Nelson,7475.75
5995,1441,Investments,Mccarthy Costa and Leblanc Investments,Hays Baker and Cooper,14175.45
5996,1441,Mortgage,Dean Group Investments,Bowman Ortega and Moss,-229516.22
5997,1441,Student Loan,Floyd Willis and Clayton Mortgage,Sanchez-Hull,-27562.15
5998,1442,Checking,Cruz LLC,Cruz LLC,4579.13
5999,1442,Savings,Mathis Aguilar and Santiago,Mathis Aguilar and Santiago,10780.07
6000,1443,Checking,Brown and Sons,Brown and Sons,1348.17
6001,1443,Savings,Garcia-Jacobson,Garcia-Jacobson,17954.08
6002,1443,Credit Card,Moore LLC Student Loan,Hall-Miller,-1580.86
6003,1444,Checking,Barrett Group,Barrett Group,4038.36
6004,1444,Savings,Wiley-George,Wiley-George,8558.75
6005,1444,Mortgage,Wolf-Merritt Car Loan,Underwood LLC,-189746.34
6006,1444,Student Loan,Fleming Green and Taylor Student Loan,Shields-Blanchard,-3241.02
6007,1445,Checking,Foster Moody and Kelley,Foster Moody and Kelley,3796.3
6008,1445,Savings,Greer Cole and Garcia,Greer Cole and Garcia,15569.72
6009,1445,Student Loan,Freeman-Castaneda Car Loan,Stanley Ltd,-44051.28
6010,1445,Mortgage,Robinson-Jones Investments,Pittman Group,-144151.32
6011,1446,Checking,Richard Ltd,Richard Ltd,1435.71
6012,1446,Savings,Brown-Hall,Brown-Hall,10926.89
6013,1446,Credit Card,Miller Johnson and Evans Checking,Swanson Ltd,-302.5
6014,1446,Investments,Paul-Harris Credit Card,Morse Inc,21471.9
6015,1446,Investments,Smith Price and Terry Checking,Castaneda Archer and White,45907.19
6016,1447,Checking,Clark and Sons,Clark and Sons,4366.59
6017,1447,Savings,Palmer-Becker,Palmer-Becker,14085.46
6018,1447,Investments,Johnson-Spears Savings,Jarvis Ltd,82556.62
6019,1447,Mortgage,Walker-Lopez Savings,Cohen PLC,-145521.43
6020,1447,Car Loan,Hart Group Credit Card,Jones-Howard,-28892.16
6021,1448,Checking,Wiley-George,Wiley-George,561.28
6022,1448,Savings,Johnson Group,Johnson Group,16475.85
6023,1448,Credit Card,Castaneda-Stout Mortgage,Zimmerman Group,-4601.24
6024,1449,Checking,Ellis Garcia and Fox,Ellis Garcia and Fox,1790.68
6025,1449,Savings,Luna Becker and Hensley,Luna Becker and Hensley,18068.31
6026,1449,Mortgage,Alvarez-Williams Mortgage,Hernandez LLC,-153345.02
6027,1449,Car Loan,Massey-Jones Credit Card,Camacho Brown and Garcia,-36656.88
6028,1449,Student Loan,Mcknight-Johnson Checking,Roberts Group,-19867.66
6029,1450,Checking,Williams-Cooke,Williams-Cooke,4191.08
6030,1450,Savings,Palmer-Becker,Palmer-Becker,5088.71
6031,1450,Credit Card,Mann Inc Investments,Brown Lucas and Mathews,-130.39
6032,1450,Credit Card,Wolf-Merritt Car Loan,Short PLC,-390.97
6033,1451,Checking,Chavez Schwartz and Williams,Chavez Schwartz and Williams,4781.18
6034,1451,Savings,Ramirez-Hanson,Ramirez-Hanson,18255.05
6035,1451,Credit Card,Marks PLC Credit Card,Gonzalez-Fox,-2985.51
6036,1451,Credit Card,Simon PLC Student Loan,Owens Ltd,-3961.34
6037,1451,Credit Card,Hunter and Sons Checking,Evans-Webb,-1509.08
6038,1451,Student Loan,Chambers-Ward Savings,Howard PLC,-31436.57
6039,1452,Checking,Mason-Mcclure,Mason-Mcclure,4475.14
6040,1452,Savings,Foster Group,Foster Group,13129.38
6041,1452,Investments,Contreras Hayes and Knapp Car Loan,Delgado Watts and Holmes,57104.02
6042,1452,Car Loan,Bell and Sons Savings,Williams Inc,-33952.83
6043,1452,Credit Card,Wright-Baldwin Student Loan,Morton Hicks and Morris,-3024.96
6044,1452,Investments,Haynes-Jones Savings,Byrd Cisneros and Tran,53193.13
6045,1452,Student Loan,Simmons-Park Mortgage,Haynes-Fowler,-21508.99
6046,1453,Checking,Anderson-Maldonado,Anderson-Maldonado,3753.15
6047,1453,Savings,Hopkins LLC,Hopkins LLC,15336.23
6048,1453,Investments,Nguyen Ortega and Maldonado Mortgage,Clark PLC,82845.3
6049,1453,Credit Card,Ruiz Brock and Johnson Car Loan,Harris Hale and Mcintosh,-3502.79
6050,1453,Mortgage,Matthews LLC Car Loan,Carrillo Cordova and Caldwell,-237990.51
6051,1453,Student Loan,Dean LLC Checking,Ellis Ltd,-35752.13
6052,1454,Checking,Pineda-Shields,Pineda-Shields,305.19
6053,1454,Savings,Dougherty Greene and Johnston,Dougherty Greene and Johnston,14201.95
6054,1454,Mortgage,Krueger LLC Car Loan,Melendez and Sons,-92792.08
6055,1455,Checking,Crawford Martin and Nelson,Crawford Martin and Nelson,3325.74
6056,1455,Savings,Dougherty Greene and Johnston,Dougherty Greene and Johnston,2340.3
6057,1455,Credit Card,Rogers Martinez and Martinez Mortgage,Ward-Gonzales,-2885.69
6058,1455,Student Loan,Black Ltd Car Loan,Brown Hamilton and Cannon,-27703.86
6059,1456,Checking,Lopez PLC,Lopez PLC,3943.29
6060,1456,Savings,Dougherty Greene and Johnston,Dougherty Greene and Johnston,3957.15
6061,1456,Student Loan,Wilson and Sons Mortgage,Horn Inc,-8037.6
6062,1456,Car Loan,Armstrong-Moon Investments,Russo Group,-25212.85
6063,1456,Car Loan,Price Inc Credit Card,Rogers LLC,-18045.36
6064,1457,Checking,Faulkner Group,Faulkner Group,2351.26
6065,1457,Savings,Williams PLC,Williams PLC,4866.92
6066,1457,Car Loan,Flores Inc Investments,Garcia Boyle and Jones,-16408.91
6067,1457,Investments,Gonzalez Jimenez and Fitzpatrick Mortgage,Gomez and Sons,5803.75
6068,1458,Checking,Chavez Schwartz and Williams,Chavez Schwartz and Williams,2598.19
6069,1458,Savings,Wiley-George,Wiley-George,5662.44
6070,1458,Car Loan,Guerrero Hayes and Gonzales Savings,Jones Mason and Hill,-28210.61
6071,1458,Mortgage,Alexander Browning and Brown Investments,Jimenez and Sons,-52152.14
6072,1459,Checking,Williams PLC,Williams PLC,2893.54
6073,1459,Savings,Martinez-Butler,Martinez-Butler,10448.84
6074,1459,Credit Card,Wright-Baldwin Student Loan,Griffin Zavala and Johnson,-1759.11
6075,1460,Checking,Villegas Weaver and Skinner,Villegas Weaver and Skinner,2016.17
6076,1460,Savings,Martinez-Butler,Martinez-Butler,19099.92
6077,1460,Car Loan,Burke Mora and Richardson Savings,Blackwell-Hobbs,-19509.42
6078,1460,Investments,Rush LLC Car Loan,Thompson LLC,87765.47
6079,1460,Student Loan,Brown-Tran Student Loan,Young-Brooks,-44074.7
6080,1460,Mortgage,Campbell Fox and Schneider Student Loan,Lee Paul and Wallace,-140393.98
6081,1460,Student Loan,Reid Inc Checking,Mason Group,-48121.65
6082,1461,Checking,Warren-Torres,Warren-Torres,858.94
6083,1461,Savings,Chavez Schwartz and Williams,Chavez Schwartz and Williams,17687.97
6084,1461,Car Loan,Wolf-Merritt Car Loan,Finley Gardner and Hernandez,-22451.35
6085,1461,Credit Card,Ellis Schmidt and Allen Student Loan,Hicks-Ramirez,-4058.42
6086,1462,Checking,Lopez PLC,Lopez PLC,1480.36
6087,1462,Savings,Faulkner Group,Faulkner Group,10416.38
6088,1462,Investments,Garcia Group Mortgage,Morse Taylor and Stephens,25273.1
6089,1462,Student Loan,Pearson-Welch Savings,Thomas-Jones,-16751.36
6090,1462,Car Loan,Smith Moore and Fisher Car Loan,Brewer LLC,-29955.63
6091,1462,Investments,Hoffman Wallace and Contreras Credit Card,Nelson Garcia and Brown,84140.52
6092,1463,Checking,Rangel Gilmore and Myers,Rangel Gilmore and Myers,755.93
6093,1463,Savings,Simmons Mullins and Guerrero,Simmons Mullins and Guerrero,18224.49
6094,1463,Credit Card,Hernandez-Williams Investments,Rodriguez Group,-1098.86
6095,1463,Car Loan,Barron Miles and Schneider Car Loan,Harris Griffin and Sanchez,-22205.62
6096,1463,Mortgage,Robinson Ltd Credit Card,Mendoza LLC,-242764.44
6097,1463,Investments,Stanton-Harris Checking,Baker-Roberts,62522.19
6098,1464,Checking,Eaton-Hernandez,Eaton-Hernandez,1181.94
6099,1464,Savings,Hopkins LLC,Hopkins LLC,15479.59
6100,1464,Student Loan,Norman Miller and Swanson Student Loan,Bartlett Group,-14312.21
6101,1464,Student Loan,Smith Inc Car Loan,Evans Harris and Gardner,-35130.5
6102,1464,Mortgage,Lloyd Inc Student Loan,White Rodriguez and Ortiz,-62877.18
6103,1465,Checking,Greer Cole and Garcia,Greer Cole and Garcia,966.67
6104,1465,Savings,Cruz LLC,Cruz LLC,14076.07
6105,1465,Mortgage,Hernandez Inc Investments,Moore Jacobson and Fernandez,-118711.1
6106,1465,Credit Card,Hebert Alexander and Roberts Student Loan,Gamble-Richardson,-3906.86
6107,1465,Mortgage,Lowe-Elliott Car Loan,Watkins-Finley,-227220.05
6108,1466,Checking,Barrett Group,Barrett Group,3379.39
6109,1466,Savings,Foster Group,Foster Group,13084.59
6110,1466,Car Loan,Rogers Martinez and Martinez Mortgage,Barnes Pierce and Robinson,-23242.77
6111,1467,Checking,Hill-Brennan,Hill-Brennan,3895.07
6112,1467,Savings,Williams PLC,Williams PLC,16812.79
6113,1467,Credit Card,Bennett Ramirez and Klein Mortgage,Ayala Group,-1902.55
6114,1468,Checking,Dougherty Greene and Johnston,Dougherty Greene and Johnston,1220.3
6115,1468,Savings,Luna Becker and Hensley,Luna Becker and Hensley,3668.07
6116,1468,Investments,Pearson-Welch Savings,Cooper Johns and Frost,55926.02
6117,1468,Investments,Martinez-Hansen Student Loan,Golden-Clark,43858.41
6118,1468,Student Loan,Combs Ltd Mortgage,Johnson Ltd,-48785.11
6119,1469,Checking,Hopkins LLC,Hopkins LLC,4018.17
6120,1469,Savings,Brown and Sons,Brown and Sons,18016.15
6121,1469,Mortgage,Vazquez Inc Car Loan,Savage-Mitchell,-226793.49
6122,1470,Checking,Anderson-Maldonado,Anderson-Maldonado,1353.39
6123,1470,Savings,Brown-Thomas,Brown-Thomas,17130.84
6124,1471,Checking,Hudson-Chan,Hudson-Chan,3998.69
6125,1471,Savings,Crawford Martin and Nelson,Crawford Martin and Nelson,9676.92
6126,1471,Car Loan,Lopez PLC Student Loan,Webster and Sons,-8762.33
6127,1471,Student Loan,Adkins Valdez and Farmer Student Loan,Owens PLC,-39186.34
6128,1471,Mortgage,Gonzales Parrish and Landry Student Loan,Fitzgerald-Hall,-62390.94
6129,1472,Checking,Wiley-George,Wiley-George,1468.63
6130,1472,Savings,Foster Group,Foster Group,11931.78
6131,1472,Student Loan,Barr-Moreno Credit Card,Levy Ltd,-10994.72
6132,1473,Checking,Faulkner Group,Faulkner Group,1034.77
6133,1473,Savings,Foster Moody and Kelley,Foster Moody and Kelley,12285.46
6134,1473,Mortgage,Norman Miller and Swanson Student Loan,Bates Mann and Love,-83901.87
6135,1473,Investments,Johnson-Johnson Checking,Hall-Cook,63093.58
6136,1474,Checking,Mason-Mcclure,Mason-Mcclure,1202.84
6137,1474,Savings,Mays PLC,Mays PLC,6866.34
6138,1474,Investments,Hutchinson-Hill Credit Card,Brown Sanders and Garcia,30997.13
6139,1475,Checking,Gonzales Group,Gonzales Group,3810.22
6140,1475,Savings,Carrillo LLC,Carrillo LLC,18829.24
6141,1475,Credit Card,Peterson-Potter Credit Card,Blankenship-Harvey,-1415.35
6142,1475,Car Loan,Cole PLC Credit Card,Wood-Mcguire,-14422.21
6143,1475,Investments,Sanchez Erickson and Cole Student Loan,Morris Ltd,62156.78
6144,1475,Mortgage,Marquez-Watts Investments,Pearson LLC,-84860.24
6145,1475,Car Loan,Garcia Mcdonald and Stevens Savings,Williams-Gutierrez,-25757.04
6146,1476,Checking,Phillips-Terry,Phillips-Terry,2562.95
6147,1476,Savings,Richard Ltd,Richard Ltd,11727.51
6148,1476,Student Loan,Perry Ltd Student Loan,Hancock-Moon,-15725.49
6149,1476,Student Loan,Price Group Savings,Evans King and Butler,-19788.94
6150,1476,Student Loan,Conley Moyer and Montgomery Mortgage,Anderson-Garcia,-44510.21
6151,1477,Checking,Foster Moody and Kelley,Foster Moody and Kelley,4953.08
6152,1477,Savings,Simmons Mullins and Guerrero,Simmons Mullins and Guerrero,9015.63
6153,1477,Investments,Schmitt PLC Car Loan,Dixon-Krause,83704.46
6154,1477,Credit Card,Jones Waller and Johnson Mortgage,Brown-Jones,-2539.72
6155,1478,Checking,King-Davis,King-Davis,2013.15
6156,1478,Savings,Ellis Garcia and Fox,Ellis Garcia and Fox,11305.79
6157,1478,Car Loan,Burton-Hill Savings,Castillo Carpenter and Keller,-16660.88
6158,1479,Checking,Hawkins-Robinson,Hawkins-Robinson,4463.54
6159,1479,Savings,Payne-Johnson,Payne-Johnson,13542.25
6160,1479,Credit Card,Robinson-Jones Investments,Vazquez Group,-3832.44
6161,1480,Checking,Cruz LLC,Cruz LLC,4944.22
6162,1480,Savings,Richard Ltd,Richard Ltd,2967.33
6163,1480,Mortgage,Wells-Taylor Car Loan,Carroll Torres and Castro,-159214.59
6164,1480,Credit Card,Mcclain Cline and Rivera Credit Card,Bautista-Green,-805.43
6165,1480,Car Loan,Leonard PLC Checking,Meyer Sheppard and Johnson,-9300.04
6166,1480,Investments,Olsen and Sons Savings,Nelson-Petersen,54458.04
6167,1481,Checking,Richard Ltd,Richard Ltd,2676.24
6168,1481,Savings,Hopkins LLC,Hopkins LLC,18861.09
6169,1481,Mortgage,Byrd-Robinson Student Loan,Richmond-Odom,-153550.59
6170,1481,Credit Card,Obrien Mann and Andrade Checking,Valenzuela Inc,-4833.77
6171,1481,Car Loan,Mcmahon PLC Car Loan,Torres Thomas and Lopez,-12984.13
6172,1482,Checking,Warren-Torres,Warren-Torres,1984.46
6173,1482,Savings,Hernandez-Edwards,Hernandez-Edwards,15052.03
6174,1482,Mortgage,Irwin-Beck Mortgage,Smith Group,-114809.45
6175,1482,Car Loan,Schmidt-Flores Checking,Huang Bradley and Sweeney,-5514.94
6176,1483,Checking,Pineda-Shields,Pineda-Shields,2376.86
6177,1483,Savings,Ellis Garcia and Fox,Ellis Garcia and Fox,10119.0
6178,1483,Car Loan,Barnes Dawson and Stone Investments,Williams Patel and Jenkins,-10308.13
6179,1484,Checking,Hill-Brennan,Hill-Brennan,1016.36
6180,1484,Savings,Pineda-Shields,Pineda-Shields,2448.31
6181,1484,Credit Card,Nguyen Ortega and Maldonado Mortgage,Conley Mason and Golden,-1311.11
6182,1485,Checking,Gonzales Group,Gonzales Group,1833.4
6183,1485,Savings,Martinez-Butler,Martinez-Butler,10118.6
6184,1485,Car Loan,Burton Adams and Martin Investments,Taylor-Crosby,-17935.59
6185,1485,Car Loan,Evans Ballard and Gomez Savings,Moore Inc,-35993.24
6186,1486,Checking,Greer Cole and Garcia,Greer Cole and Garcia,4513.86
6187,1486,Savings,Palmer-Becker,Palmer-Becker,15451.52
6188,1486,Student Loan,Singleton Ltd Car Loan,Espinoza Group,-10737.39
6189,1486,Investments,Nelson Brandt and Kim Investments,Mercer-Snyder,28870.21
6190,1487,Checking,Foster Group,Foster Group,3950.27
6191,1487,Savings,Chavez Schwartz and Williams,Chavez Schwartz and Williams,19974.19
6192,1487,Investments,Hutchinson-Hill Credit Card,Osborn Sanchez and Palmer,48629.37
6193,1487,Credit Card,Martinez LLC Credit Card,Mcclain Collins and Hawkins,-1196.45
6194,1488,Checking,Anderson-Maldonado,Anderson-Maldonado,4654.37
6195,1488,Savings,Lopez PLC,Lopez PLC,11351.38
6196,1488,Credit Card,Webster-Smith Savings,Wilson Ltd,-4880.53
6197,1488,Car Loan,Barnes Dawson and Stone Investments,Nelson-Rivers,-30738.94
6198,1488,Student Loan,Schroeder PLC Car Loan,Rodriguez Kerr and Roberson,-32964.53
6199,1489,Checking,Mason-Mcclure,Mason-Mcclure,2566.67
6200,1489,Savings,Luna Becker and Hensley,Luna Becker and Hensley,915.6
6201,1489,Car Loan,Atkinson Lawrence and Barnes Mortgage,Colon Inc,-35240.89
6202,1489,Credit Card,Curtis Harris and Smith Savings,Johnson PLC,-1961.19
6203,1489,Student Loan,Martinez LLC Credit Card,Richardson-Hancock,-3556.03
6204,1490,Checking,Hawkins-Robinson,Hawkins-Robinson,1225.23
6205,1490,Savings,Carrillo LLC,Carrillo LLC,6474.01
6206,1490,Student Loan,Marks PLC Credit Card,Powell LLC,-25726.45
6207,1491,Checking,Pineda-Shields,Pineda-Shields,3385.1
6208,1491,Savings,Williams-Cooke,Williams-Cooke,13105.89
6209,1491,Mortgage,Miller-Brown Investments,Hart-Roman,-201139.12
6210,1491,Credit Card,Perkins Tran and Jones Checking,Stewart Miller and Hubbard,-1749.65
6211,1491,Investments,Rivera Salazar and Johnson Student Loan,Lloyd Snyder and Simpson,87744.33
6212,1492,Checking,Villegas Weaver and Skinner,Villegas Weaver and Skinner,294.25
6213,1492,Savings,Clark and Sons,Clark and Sons,3269.24
6214,1492,Investments,Richardson Ayala and Horton Credit Card,Brennan Bell and Knapp,20603.24
6215,1492,Mortgage,Reed and Sons Car Loan,Johns Thornton and Thomas,-130492.69
6216,1492,Student Loan,Chambers-Ward Savings,Lynch-Gilmore,-41250.38
6217,1493,Checking,Chavez Schwartz and Williams,Chavez Schwartz and Williams,3685.62
6218,1493,Savings,Browning Brown and Kennedy,Browning Brown and Kennedy,587.49
6219,1493,Student Loan,Jones Waller and Johnson Mortgage,Hughes Anderson and Daniels,-47000.6
6220,1493,Mortgage,Rivera-Rivera Checking,Wells Little and Terry,-182963.33
6221,1494,Checking,Simmons Mullins and Guerrero,Simmons Mullins and Guerrero,1787.68
6222,1494,Savings,Clark and Sons,Clark and Sons,8157.73
6223,1494,Car Loan,Warren Ward and Lloyd Mortgage,Hernandez-Dorsey,-16247.69
6224,1494,Mortgage,Marquez-Watts Investments,Garcia PLC,-232871.04
6225,1494,Student Loan,Norris Henry and Cole Credit Card,Hooper PLC,-10641.33
6226,1495,Checking,Simmons Mullins and Guerrero,Simmons Mullins and Guerrero,1915.39
6227,1495,Savings,Hill-Brennan,Hill-Brennan,11149.54
6228,1495,Car Loan,Simon Love and Long Checking,Briggs-Lopez,-26882.92
6229,1495,Credit Card,Morales Higgins and Gomez Investments,Garrett-Shepherd,-2095.25
6230,1496,Checking,Barrett Group,Barrett Group,3150.69
6231,1496,Savings,Crawford Martin and Nelson,Crawford Martin and Nelson,19975.74
6232,1496,Car Loan,Barnes Dawson and Stone Investments,Turner-Barker,-14315.56
6233,1496,Student Loan,Mann and Sons Car Loan,Gomez-Li,-18492.44
6234,1496,Investments,Miller PLC Mortgage,Johnson Ltd,35816.11
6235,1497,Checking,Gonzales Group,Gonzales Group,127.72
6236,1497,Savings,Browning Brown and Kennedy,Browning Brown and Kennedy,12936.78
6237,1497,Investments,Bell Martinez and Johnson Mortgage,Watson Johnson and Guzman,88429.67
6238,1497,Student Loan,Buchanan PLC Mortgage,Andrews-Hill,-15590.49
6239,1497,Mortgage,Johnson Goodman and Little Checking,Lyons LLC,-104456.2
6240,1498,Checking,Hernandez-Edwards,Hernandez-Edwards,2835.56
6241,1498,Savings,Barrett Group,Barrett Group,7939.76
6242,1498,Credit Card,Harrison-Reeves Car Loan,Baker-Walker,-3042.12
6243,1498,Mortgage,Oliver Ltd Car Loan,Frazier Jones and Torres,-75797.45
6244,1499,Checking,Luna Becker and Hensley,Luna Becker and Hensley,1250.04
6245,1499,Savings,King-Davis,King-Davis,1824.73
6246,1499,Mortgage,Miller-Duncan Mortgage,Daugherty Elliott and Nelson,-241845.26
6247,1500,Checking,Brown-Hall,Brown-Hall,1415.74
6248,1500,Savings,Faulkner Group,Faulkner Group,3433.17
6249,1500,Investments,Lee-Hobbs Student Loan,Lloyd-Moore,69879.73
6250,1500,Investments,Ellis Schmidt and Allen Student Loan,Simpson Thomas and Berry,57083.52
6251,1501,Checking,Payne-Johnson,Payne-Johnson,4168.87
6252,1501,Savings,Phillips-Terry,Phillips-Terry,3748.77
6253,1501,Car Loan,Ward and Sons Checking,Fernandez PLC,-13987.06
6254,1501,Credit Card,Anderson-Munoz Student Loan,Smith Inc,-768.15
6255,1502,Checking,Ramirez-Hanson,Ramirez-Hanson,4755.39
6256,1502,Savings,Clark and Sons,Clark and Sons,16149.6
6257,1502,Car Loan,Wallace Ltd Checking,Rodriguez Henry and Ward,-22951.91
6258,1502,Credit Card,Wallace Ltd Checking,Jones Wilson and Floyd,-4619.48
6259,1502,Investments,Warren Inc Credit Card,Gomez LLC,39256.15
6260,1503,Checking,Phillips-Terry,Phillips-Terry,641.69
6261,1503,Savings,Williams PLC,Williams PLC,9032.82
6262,1503,Student Loan,King PLC Checking,Wilson Zimmerman and Caldwell,-35609.65
6263,1504,Checking,Phillips-Terry,Phillips-Terry,4290.09
6264,1504,Savings,Foster Moody and Kelley,Foster Moody and Kelley,6714.89
6265,1504,Credit Card,Chambers Group Car Loan,Rodriguez Miller and Lopez,-2911.48
6266,1504,Mortgage,Mcmahon PLC Car Loan,Kramer Martinez and Payne,-105236.37
6267,1504,Student Loan,Blevins Jensen and Greer Mortgage,Grant-Moreno,-21242.98
6268,1505,Checking,Phillips-Terry,Phillips-Terry,565.57
6269,1505,Savings,Williams-Khan,Williams-Khan,2470.05
6270,1505,Student Loan,Harris and Sons Investments,Stone-Vance,-26904.64
6271,1505,Credit Card,Bautista Martinez and Campbell Student Loan,Ayala Padilla and Ryan,-285.92
6272,1505,Student Loan,Howe-Rodriguez Car Loan,Jones LLC,-23216.25
6273,1505,Student Loan,Shields PLC Investments,Moore Ellis and Jenkins,-43780.18
6274,1506,Checking,Phillips-Terry,Phillips-Terry,4552.96
6275,1506,Savings,Rangel Gilmore and Myers,Rangel Gilmore and Myers,16461.7
6276,1506,Mortgage,Jones Group Checking,Price Inc,-59638.31
6277,1506,Credit Card,Gibson-Hunter Investments,Rogers Inc,-284.72
6278,1506,Credit Card,Morris LLC Mortgage,Brock Pierce and Wilson,-3257.57
6279,1507,Checking,Ellis Garcia and Fox,Ellis Garcia and Fox,2589.78
6280,1507,Savings,Mathis Aguilar and Santiago,Mathis Aguilar and Santiago,14797.98
6281,1507,Car Loan,Houston-Estes Mortgage,Flynn Smith and Atkinson,-15912.95
6282,1507,Car Loan,Sanchez Erickson and Cole Student Loan,Campbell Vargas and Rangel,-6031.87
6283,1508,Checking,Ramirez-Hanson,Ramirez-Hanson,1643.39
6284,1508,Savings,Ramirez-Hanson,Ramirez-Hanson,13143.04
6285,1508,Mortgage,Sanders-Olson Checking,Mills Ltd,-53375.13
6286,1508,Mortgage,Mcknight-Johnson Checking,Stewart Mcgee and Fisher,-234299.02
6287,1509,Checking,Gonzales Group,Gonzales Group,2261.14
6288,1509,Savings,Foster Group,Foster Group,7050.09
6289,1509,Mortgage,Wilkinson-Maldonado Mortgage,Nelson Cross and Nguyen,-137688.47
6290,1509,Car Loan,Mccullough Ltd Investments,Shaw and Sons,-20006.73
6291,1509,Investments,Jarvis Garcia and Briggs Checking,Knight and Sons,50329.08
6292,1510,Checking,Ramirez-Hanson,Ramirez-Hanson,2518.35
6293,1510,Savings,Greer Cole and Garcia,Greer Cole and Garcia,5286.52
6294,1510,Credit Card,Myers Owens and Anderson Student Loan,Peterson-Lynch,-2611.69
6295,1510,Mortgage,Sutton LLC Checking,Jones Mcmahon and Steele,-77162.8
6296,1510,Credit Card,Krueger LLC Car Loan,Fernandez Spencer and Davis,-2322.5
6297,1510,Credit Card,Jackson Group Checking,Mcgee Group,-4975.93
6298,1511,Checking,Anderson-Maldonado,Anderson-Maldonado,4950.32
6299,1511,Savings,Crawford Martin and Nelson,Crawford Martin and Nelson,5598.2
6300,1511,Investments,Orr Inc Checking,Golden Jackson and Allen,49174.92
6301,1511,Student Loan,Contreras Hayes and Knapp Car Loan,Gordon Inc,-10621.74
6302,1512,Checking,Wiley-George,Wiley-George,3075.16
6303,1512,Savings,Crawford Martin and Nelson,Crawford Martin and Nelson,17849.47
6304,1512,Student Loan,Hill Group Checking,Brown Oliver and Oconnell,-45353.35
6305,1513,Checking,Chavez Schwartz and Williams,Chavez Schwartz and Williams,1482.24
6306,1513,Savings,Chavez Schwartz and Williams,Chavez Schwartz and Williams,12287.37
6307,1514,Checking,Ramirez-Hanson,Ramirez-Hanson,1836.8
6308,1514,Savings,Simmons Mullins and Guerrero,Simmons Mullins and Guerrero,18480.6
6309,1515,Checking,Williams PLC,Williams PLC,2696.38
6310,1515,Savings,Cruz LLC,Cruz LLC,9603.93
6311,1515,Car Loan,Chang-Johnson Car Loan,Johnston-Rose,-28868.63
6312,1515,Car Loan,Flores Inc Investments,Hernandez LLC,-8007.33
6313,1515,Car Loan,Holt-Cruz Savings,King LLC,-17170.79
6314,1515,Credit Card,Chase Smith and Potter Student Loan,Harris-Fitzpatrick,-1410.42
6315,1516,Checking,Williams PLC,Williams PLC,1290.4
6316,1516,Savings,Anderson-Maldonado,Anderson-Maldonado,1542.88
6317,1516,Student Loan,Barnes Dawson and Stone Investments,Reid Guzman and Farley,-15805.94
6318,1516,Investments,Marquez Group Mortgage,Hicks Williams and Beasley,28232.34
6319,1516,Credit Card,Moore LLC Student Loan,Villanueva-Brady,-2500.7
